322	17	A	5474		500	4000000	2870309	1129691	559
103	38	A	3914						
319	42	A	13398						
175	37	A	6475						
231	42	A	9702						
139	18	A	2502						
368	59	A	21712						
88	30	A	2640						
335	21	A	7035						
80	57	A	4560						
72	59	A	4248						
473	35	A	16555						
83	64	A	5312						
235	50	A	11750						
417	68	A	28356						
265	25	A	6625						
274	13	A	3562						
257	59	A	15163						
135	43	A	5805						
165	45	A	7425						
292	15	A	4380						
243	46	A	11178						
398	60	A	23880						
86	26	A	2236						
104	41	A	4264						
96	27	A	2592						
204	11	A	2244						
232	13	A	3016						
197	16	A	3152						
323	54	A	17442						
303	52	A	15756						
426	65	A	27690						
424	62	A	26288						
131	56	A	7336						
63	16	A	1008						
130	52	A	6760						
208	52	A	10816						
168	42	A	7056						
60	14	A	840						
125	56	A	7000						
391	13	A	5083						
302	47	A	14194						
357	64	A	22848						
348	26	A	9048						
389	57	A	22173						
110	35	A	3850						
422	44	A	18568						
110	62	A	6820						
246	31	A	7626						
333	69	A	22977						
398	25	A	9950						
254	63	A	16002						
152	17	A	2584						
341	33	A	11253						
233	16	A	3728						
488	21	A	10248						
280	27	A	7560						
71	28	A	1988						
270	46	A	12420						
368	63	A	23184						
322	52	A	16744						
108	16	A	1728						
386	21	A	8106						
137	67	A	9179						
257	11	A	2827						
273	55	A	15015						
439	47	A	20633						
491	31	A	15221						
190	44	A	8360						
428	53	A	22684						
209	44	A	9196						
136	25	A	3400						
99	13	A	1287						
255	47	A	11985						
157	43	A	6751						
444	38	A	16872						
225	35	A	7875						
103	65	A	6695						
284	35	A	9940						
434	32	A	13888						
166	66	A	10956						
165	43	A	7095						
235	54	A	12690						
463	20	A	9260						
490	53	A	25970						
62	45	A	2790						
297	60	A	17820						
417	10	A	4170						
442	67	A	29614						
225	22	A	4950						
131	40	A	5240						
135	69	A	9315						
96	14	A	1344						
97	24	A	2328						
128	59	A	7552						
382	59	A	22538						
150	59	A	8850						
210	60	A	12600						
112	57	A	6384						
357	11	A	3927						
360	38	A	13680						
59	32	A	1888						
151	54	A	8154						
154	21	A	3234						
66	16	A	1056						
301	44	A	13244						
166	65	A	10790						
387	42	A	16254						
316	29	A	9164						
125	11	A	1375						
111	46	A	5106						
416	11	A	4576						
58	70	A	4060						
327	16	A	5232						
126	26	A	3276						
347	19	A	6593						
349	46	A	16054						
191	17	A	3247						
484	45	A	21780						
165	28	A	4620						
229	19	A	4351						
308	19	A	5852						
447	21	A	9387						
401	61	A	24461						
357	39	A	13923						
450	35	A	15750						
198	43	A	8514						
425	68	A	28900						
375	10	A	3750						
195	47	A	9165						
274	16	A	4384						
265	65	A	17225						
288	59	A	16992						
363	45	A	16335						
154	68	A	10472						
251	55	A	13805						
436	29	A	12644						
218	50	A	10900						
394	66	A	26004						
90	57	A	5130						
336	32	A	10752						
111	45	A	4995						
324	61	A	19764						
367	38	A	13946						
119	52	A	6188						
282	14	A	3948						
269	59	A	15871						
171	48	A	8208						
139	42	A	5838						
264	27	A	7128						
106	57	A	6042						
340	51	A	17340						
288	15	A	4320						
461	61	A	28121						
71	63	A	4473						
324	50	A	16200						
368	17	A	6256						
286	19	A	5434						
371	43	A	15953						
291	51	A	14841						
236	30	A	7080						
321	67	A	21507						
136	23	A	3128						
131	29	A	3799						
229	28	A	6412						
345	50	A	17250						
375	14	A	5250						
255	25	A	6375						
412	27	A	11124						
288	55	A	15840						
350	31	A	10850						
302	14	A	4228						
91	17	A	1547						
153	69	A	10557						
408	15	A	6120						
307	59	A	18113						
372	62	A	23064						
217	22	A	4774						
419	64	A	26816						
187	54	A	10098						
305	32	A	9760						
146	31	A	4526						
407	64	A	26048						
157	57	A	8949						
477	56	A	26712						
188	44	A	8272						
309	10	A	3090						
173	41	A	7093						
349	31	A	10819						
276	23	A	6348						
368	64	A	23552						
278	56	A	15568						
370	52	A	19240						
191	37	A	7067						
378	16	A	6048						
486	12	A	5832						
281	41	A	11521						
435	40	A	17400						
81	56	A	4536						
139	57	A	7923						
482	58	A	27956						
230	42	A	9660						
239	18	A	4302						
433	35	A	15155						
344	52	A	17888						
469	29	A	13601						
149	31	A	4619						
319	57	A	18183						
125	61	A	7625						
495	45	A	22275						
210	65	A	13650						
220	39	A	8580						
483	59	A	28497						
418	23	A	9614						
406	10	A	4060						
266	16	A	4256						
340	50	A	17000						
340	45	A	15300						
402	20	A	8040						
224	47	A	10528						
190	19	A	3610						
280	66	A	18480						
435	18	A	7830						
185	31	A	5735						
267	69	A	18423						
431	26	A	11206						
278	44	A	12232						
52	65	A	3380						
83	50	A	4150						
202	40	A	8080						
454	61	A	27694						
454	39	A	17706						
105	33	A	3465						
431	59	A	25429						
195	39	A	7605						
69	64	A	4416						
472	66	A	31152						
363	65	A	23595						
424	58	A	24592						
410	22	A	9020						
85	48	A	4080						
320	59	A	18880						
284	21	A	5964						
430	13	A	5590						
358	35	A	12530						
294	67	A	19698						
483	45	A	21735						
206	11	A	2266						
238	17	A	4046						
294	70	A	20580						
455	33	A	15015						
427	61	A	26047						
218	44	A	9592						
59	53	A	3127						
172	52	A	8944						
464	31	A	14384						
342	53	A	18126						
252	63	A	15876						
265	42	A	11130						
216	15	A	3240						
281	47	A	13207						
75	23	A	1725						
157	11	A	1727						
									
51	54	B	2754	2754					
52	17	B	884	3638					
52	45	B	2340	5978					
56	63	B	3528	9506					
57	44	B	2508	12014					
58	55	B	3190	15204					
59	32	B	1888	17092					
59	53	B	3127	20219					
62	29	B	1798	22017					
64	15	B	960	22977					
66	17	B	1122	24099					
66	35	B	2310	26409					
72	17	B	1224	27633					
72	28	B	2016	29649					
73	26	B	1898	31547					
76	28	B	2128	33675					
76	32	B	2432	36107					
76	58	B	4408	40515					
76	59	B	4484	44999					
78	18	B	1404	46403					
78	46	B	3588	49991					
78	53	B	4134	54125					
80	23	B	1840	55965					
82	57	B	4674	60639					
84	42	B	3528	64167					
85	31	B	2635	66802					
91	39	B	3549	70351					
91	61	B	5551	75902					
92	26	B	2392	78294					
94	57	B	5358	83652					
96	57	B	5472	89124					
98	42	B	4116	93240					
98	53	B	5194	98434					
99	62	B	6138	104572					
100	34	B	3400	107972					
101	17	B	1717	109689					
104	11	B	1144	110833					
106	13	B	1378	112211					
106	68	B	7208	119419					
107	70	B	7490	126909					
109	37	B	4033	130942					
110	52	B	5720	136662					
115	46	B	5290	141952					
115	52	B	5980	147932					
118	17	B	2006	149938					
119	43	B	5117	155055					
122	17	B	2074	157129					
122	41	B	5002	162131					
132	10	B	1320	163451					
133	60	B	7980	171431					
135	28	B	3780	175211					
142	43	B	6106	181317					
142	61	B	8662	189979					
143	70	B	10010	199989					
146	19	B	2774	202763					
150	24	B	3600	206363					
152	13	B	1976	208339					
154	55	B	8470	216809					
154	66	B	10164	226973					
157	32	B	5024	231997					
159	24	B	3816	235813					
162	36	B	5832	241645					
163	13	B	2119	243764					
164	54	B	8856	252620					
167	35	B	5845	258465					
167	38	B	6346	264811					
168	30	B	5040	269851					
169	57	B	9633	279484					
173	12	B	2076	281560					
177	11	B	1947	283507					
177	51	B	9027	292534					
181	15	B	2715	295249					
182	32	B	5824	301073					
184	20	B	3680	304753					
189	55	B	10395	315148					
192	15	B	2880	318028					
198	27	B	5346	323374					
199	63	B	12537	335911					
200	17	B	3400	339311					
202	46	B	9292	348603					
205	12	B	2460	351063					
207	46	B	9522	360585					
209	60	B	12540	373125					
212	41	B	8692	381817					
213	69	B	14697	396514					
218	19	B	4142	400656					
219	47	B	10293	410949					
219	50	B	10950	421899					
228	55	B	12540	434439					
233	18	B	4194	438633					
234	29	B	6786	445419					
235	21	B	4935	450354					
235	34	B	7990	458344					
238	48	B	11424	469768					
239	70	B	16730	486498					
246	38	B	9348	495846					
247	69	B	17043	512889					
250	70	B	17500	530389					
251	40	B	10040	540429					
252	45	B	11340	551769					
252	64	B	16128	567897					
255	34	B	8670	576567					
255	47	B	11985	588552					
256	16	B	4096	592648					
256	34	B	8704	601352					
256	57	B	14592	615944					
