3150	7073	9624	9624	7073	3150	 	1175
7073	9624	3510	9624	7073	3510	 	29451
9624	3510	4665	9624	4665	3510	 	
3510	4665	668	4665	3510	668	 	
4665	668	7997	7997	4665	668	 	
668	7997	1093	7997	1093	668	 	
7997	1093	6678	7997	6678	1093	 	
1093	6678	5303	6678	5303	1093	 	
6678	5303	8025	8025	6678	5303	20006	
5303	8025	5567	8025	5567	5303	 	
8025	5567	2321	8025	5567	2321	 	
5567	2321	3841	5567	3841	2321	 	
2321	3841	4688	4688	3841	2321	 	
3841	4688	4048	4688	4048	3841	12577	
4688	4048	2636	4688	4048	2636	11372	
4048	2636	8539	8539	4048	2636	 	
2636	8539	6074	8539	6074	2636	 	
8539	6074	9205	9205	8539	6074	23818	
6074	9205	315	9205	6074	315	 	
9205	315	8882	9205	8882	315	 	
315	8882	2255	8882	2255	315	 	
8882	2255	5433	8882	5433	2255	 	
2255	5433	7507	7507	5433	2255	 	
5433	7507	1322	7507	5433	1322	 	
7507	1322	7033	7507	7033	1322	 	
1322	7033	0	7033	1322	0	 	
7033	0	279	7033	279	0	 	
0	279	5975	5975	279	0	 	
279	5975	6178	6178	5975	279	 	
5975	6178	3565	6178	5975	3565	15718	
6178	3565	5800	6178	5800	3565	15543	
3565	5800	4850	5800	4850	3565	14215	
5800	4850	9539	9539	5800	4850	 	
4850	9539	5174	9539	5174	4850	 	
9539	5174	9615	9615	9539	5174	24328	
5174	9615	4305	9615	5174	4305	 	
9615	4305	1617	9615	4305	1617	 	
4305	1617	7025	7025	4305	1617	 	
1617	7025	9444	9444	7025	1617	 	
7025	9444	1724	9444	7025	1724	 	
9444	1724	5802	9444	5802	1724	 	
1724	5802	3761	5802	3761	1724	 	
5802	3761	959	5802	3761	959	 	
3761	959	955	3761	959	955	 	
959	955	7893	7893	959	955	 	
955	7893	2342	7893	2342	955	 	
7893	2342	6797	7893	6797	2342	 	
2342	6797	9269	9269	6797	2342	 	
6797	9269	3951	9269	6797	3951	 	
9269	3951	7008	9269	7008	3951	 	
3951	7008	4814	7008	4814	3951	 	
7008	4814	4201	7008	4814	4201	 	
4814	4201	1763	4814	4201	1763	 	
4201	1763	9233	9233	4201	1763	 	
1763	9233	1164	9233	1763	1164	 	
9233	1164	7991	9233	7991	1164	 	
1164	7991	9477	9477	7991	1164	 	
7991	9477	6115	9477	7991	6115	23583	
9477	6115	9597	9597	9477	6115	25189	
6115	9597	683	9597	6115	683	 	
9597	683	7662	9597	7662	683	 	
683	7662	9532	9532	7662	683	 	
7662	9532	1232	9532	7662	1232	 	
9532	1232	1482	9532	1482	1232	 	
1232	1482	7018	7018	1482	1232	 	
1482	7018	3906	7018	3906	1482	 	
7018	3906	8469	8469	7018	3906	 	
3906	8469	8219	8469	8219	3906	20594	
8469	8219	5382	8469	8219	5382	22070	
8219	5382	5485	8219	5485	5382	 	
5382	5485	7147	7147	5485	5382	18014	
5485	7147	8799	8799	7147	5485	21431	
7147	8799	2517	8799	7147	2517	 	
8799	2517	1199	8799	2517	1199	 	
2517	1199	7426	7426	2517	1199	 	
1199	7426	769	7426	1199	769	 	
7426	769	4196	7426	4196	769	 	
769	4196	241	4196	769	241	 	
4196	241	4050	4196	4050	241	 	
241	4050	5005	5005	4050	241	 	
4050	5005	8781	8781	5005	4050	 	
5005	8781	5028	8781	5028	5005	 	
8781	5028	3130	8781	5028	3130	 	
5028	3130	5949	5949	5028	3130	 	
3130	5949	6987	6987	5949	3130	 	
5949	6987	3439	6987	5949	3439	 	
6987	3439	7544	7544	6987	3439	17970	
3439	7544	8432	8432	7544	3439	 	
7544	8432	4199	8432	7544	4199	20175	
8432	4199	6135	8432	6135	4199	 	
4199	6135	6665	6665	6135	4199	16999	
6135	6665	364	6665	6135	364	 	
6665	364	1086	6665	1086	364	 	
364	1086	7345	7345	1086	364	 	
1086	7345	464	7345	1086	464	 	
7345	464	131	7345	464	131	 	
464	131	5834	5834	464	131	 	
131	5834	6096	6096	5834	131	 	
5834	6096	9742	9742	6096	5834	 	
6096	9742	498	9742	6096	498	 	
9742	498	5024	9742	5024	498	 	
498	5024	5729	5729	5024	498	 	
5024	5729	4263	5729	5024	4263	15016	
5729	4263	7202	7202	5729	4263	 	
4263	7202	6299	7202	6299	4263	17764	
7202	6299	2158	7202	6299	2158	 	
6299	2158	9078	9078	6299	2158	 	
2158	9078	5563	9078	5563	2158	 	
9078	5563	9924	9924	9078	5563	24565	
5563	9924	7714	9924	7714	5563	 	
9924	7714	5463	9924	7714	5463	 	
7714	5463	4205	7714	5463	4205	 	
5463	4205	8500	8500	5463	4205	 	
4205	8500	9320	9320	8500	4205	22025	
8500	9320	9968	9968	9320	8500	27788	
9320	9968	7279	9968	9320	7279	26567	
9968	7279	9727	9968	9727	7279	26974	
7279	9727	7536	9727	7536	7279	24542	
9727	7536	393	9727	7536	393	 	
7536	393	9201	9201	7536	393	 	
393	9201	854	9201	854	393	 	
9201	854	8889	9201	8889	854	 	
854	8889	9565	9565	8889	854	 	
8889	9565	6645	9565	8889	6645	25099	
9565	6645	8592	9565	8592	6645	24802	
6645	8592	5558	8592	6645	5558	20795	
8592	5558	6462	8592	6462	5558	 	
5558	6462	3013	6462	5558	3013	 	
6462	3013	8965	8965	6462	3013	 	
3013	8965	9928	9928	8965	3013	 	
8965	9928	1836	9928	8965	1836	 	
9928	1836	6066	9928	6066	1836	 	
1836	6066	7752	7752	6066	1836	 	
6066	7752	4124	7752	6066	4124	 	
7752	4124	4388	7752	4388	4124	 	
4124	4388	6849	6849	4388	4124	 	
4388	6849	8228	8228	6849	4388	 	
6849	8228	789	8228	6849	789	 	
8228	789	9107	9107	8228	789	 	
789	9107	925	9107	925	789	 	
9107	925	1480	9107	1480	925	 	
925	1480	1291	1480	1291	925	3696	
1480	1291	5142	5142	1480	1291	 	
1291	5142	1641	5142	1641	1291	 	
5142	1641	96	5142	1641	96	 	
1641	96	8301	8301	1641	96	 	
96	8301	6629	8301	6629	96	 	
8301	6629	9054	9054	8301	6629	23984	
6629	9054	4328	9054	6629	4328	 	
9054	4328	3590	9054	4328	3590	 	
4328	3590	500	4328	3590	500	 	
3590	500	2140	3590	2140	500	 	
500	2140	7789	7789	2140	500	 	
2140	7789	1278	7789	2140	1278	 	
7789	1278	7620	7789	7620	1278	 	
1278	7620	5771	7620	5771	1278	 	
7620	5771	3770	7620	5771	3770	 	
5771	3770	7665	7665	5771	3770	 	
3770	7665	8873	8873	7665	3770	 	
7665	8873	493	8873	7665	493	 	
8873	493	254	8873	493	254	 	
493	254	881	881	493	254	 	
254	881	1013	1013	881	254	 	
881	1013	3745	3745	1013	881	 	
1013	3745	2775	3745	2775	1013	 	
3745	2775	5353	5353	3745	2775	 	
2775	5353	9643	9643	5353	2775	 	
5353	9643	7998	9643	7998	5353	 	
9643	7998	7368	9643	7998	7368	25009	
7998	7368	9585	9585	7998	7368	24951	
7368	9585	9127	9585	9127	7368	26080	
9585	9127	7265	9585	9127	7265	25977	
9127	7265	501	9127	7265	501	 	
7265	501	2076	7265	2076	501	 	
501	2076	3450	3450	2076	501	 	
2076	3450	7893	7893	3450	2076	 	
3450	7893	5451	7893	5451	3450	 	
7893	5451	4214	7893	5451	4214	 	
5451	4214	535	5451	4214	535	 	
4214	535	9451	9451	4214	535	 	
535	9451	8504	9451	8504	535	 	
9451	8504	2893	9451	8504	2893	 	
8504	2893	8199	8504	8199	2893	19596	
2893	8199	3763	8199	3763	2893	 	
8199	3763	1534	8199	3763	1534	 	
3763	1534	6995	6995	3763	1534	 	
1534	6995	2042	6995	2042	1534	 	
6995	2042	1667	6995	2042	1667	 	
2042	1667	7897	7897	2042	1667	 	
1667	7897	101	7897	1667	101	 	
7897	101	4940	7897	4940	101	 	
101	4940	7184	7184	4940	101	 	
4940	7184	2526	7184	4940	2526	 	
7184	2526	7442	7442	7184	2526	17152	
2526	7442	956	7442	2526	956	 	
7442	956	8433	8433	7442	956	 	
956	8433	824	8433	956	824	 	
8433	824	8309	8433	8309	824	 	
824	8309	9492	9492	8309	824	 	
8309	9492	2627	9492	8309	2627	 	
9492	2627	885	9492	2627	885	 	
2627	885	6313	6313	2627	885	 	
885	6313	1982	6313	1982	885	 	
6313	1982	7327	7327	6313	1982	 	
1982	7327	4235	7327	4235	1982	 	
7327	4235	984	7327	4235	984	 	
4235	984	4562	4562	4235	984	 	
984	4562	7393	7393	4562	984	 	
4562	7393	1996	7393	4562	1996	 	
7393	1996	5651	7393	5651	1996	 	
1996	5651	8685	8685	5651	1996	 	
5651	8685	6447	8685	6447	5651	 	
8685	6447	2030	8685	6447	2030	 	
6447	2030	6249	6447	6249	2030	14726	
2030	6249	9120	9120	6249	2030	 	
6249	9120	2458	9120	6249	2458	 	
9120	2458	1683	9120	2458	1683	 	
