5000	1223	-8362	51133630000	5	2139	9	 	154
1223	-8362	6915	70717810290	1	224	4	 	19285
-8362	6915	-1960	1,13334E+11	0	3407	7	 	
6915	-1960	4642	62914882800	0	9597	7	 	
-1960	4642	-4606	41906861920	0	1924	4	 	
4642	-4606	-7634	1,63223E+11	0	7598	8	 	
-4606	-7634	5836	2,05207E+11	0	6404	4	 	
-7634	5836	7066	3,14805E+11	4	5268	8	 	
5836	7066	-1252	51628944352	6	11650	0	 	
7066	-1252	5075	44896657400	0	10889	9	 	
-1252	5075	-1159	7364170100	0	2664	4	 	
5075	-1159	-3972	23363006100	0	56	6	 	
-1159	-3972	4291	19753824468	0	840	0	 	
-3972	4291	-7736	1,31851E+11	0	7417	7	 	
4291	-7736	9035	2,99918E+11	0	5590	0	 	
-7736	9035	-4164	2,91042E+11	2	2865	5	 	
9035	-4164	-9635	3,62485E+11	6	4764	4	 	
-4164	-9635	3429	1,37572E+11	3	10370	0	 	
-9635	3429	6350	2,09794E+11	4	144	4	 	
3429	6350	7250	1,57863E+11	2	17029	9	 	
6350	7250	5586	2,57165E+11	0	19186	6	 	
7250	5586	667	27012499500	0	13503	3	 	
5586	667	-1175	4377887850	0	5078	8	 	
667	-1175	2074	1625445650	3	1566	6	 	
-1175	2074	3102	7559418900	5	4001	1	 	
2074	3102	-9904	63717859392	5	4728	8	 	
3102	-9904	-2953	90722680224	1	9755	5	 	
-9904	-2953	-1049	30679591088	6	13906	6	 	
-2953	-1049	-7086	21950280942	2	11088	8	 	
-1049	-7086	-3381	25131696534	0	11516	6	 	
-7086	-3381	-1889	45256219974	0	12356	6	 	
-3381	-1889	8937	57078018333	0	3667	7	 	
-1889	8937	-1135	19161062055	2	5913	3	 	
8937	-1135	3132	31769426340	1	10934	4	 	
-1135	3132	-8826	31374841320	4	6829	9	 	
3132	-8826	-2656	73419892992	5	8350	0	 	
-8826	-2656	8687	2,03639E+11	0	2795	5	-2795	
-2656	8687	3567	82300221024	0	9598	8	 	
8687	3567	593	18375011697	0	12847	7	 	
3567	593	6488	13723618728	1	10648	8	 	
593	6488	4574	17597934416	6	11655	5	 	
6488	4574	9676	2,87146E+11	1	20738	8	 	
4574	9676	838	37088224112	2	15088	8	 	
9676	838	4220	34217819360	4	14734	4	 	
838	4220	9438	33376165680	4	14496	6	 	
4220	9438	4040	1,60907E+11	5	17698	8	 	
9438	4040	-4197	1,6003E+11	1	9281	1	 	
4040	-4197	344	5832822720	4	187	7	 	
-4197	344	6663	9619826184	3	2810	0	 	
344	6663	1009	2312700648	6	8016	6	 	
6663	1009	9256	62227782552	5	16928	8	 	
1009	9256	7963	74368877752	1	18228	8	 	
9256	7963	4223	3,11258E+11	2	21442	2	 	
7963	4223	9005	3,02818E+11	3	21191	1	 	
4223	9005	8549	3,25102E+11	5	21777	7	 	
9005	8549	7665	5,9008E+11	0	25219	9	 	
8549	7665	1862	1,22013E+11	0	18076	6	 	
7665	1862	4519	64496207370	0	14046	6	 	
1862	4519	-1078	9070699484	0	5303	3	 	
4519	-1078	9633	46926986106	0	13074	4	 	
-1078	9633	-5478	56885600772	0	3077	7	 	
9633	-5478	-1725	91027515150	5	2430	0	 	
-5478	-1725	-1126	10640193300	2	8329	9	 	
-1725	-1126	-5508	10698463800	3	8359	9	 	
-1126	-5508	9479	58788833832	1	2845	5	 	
-5508	9479	-2228	1,16325E+11	5	1743	3	 	
9479	-2228	7948	1,67855E+11	6	15199	9	 	
-2228	7948	6786	1,20167E+11	4	12506	6	 	
7948	6786	-6943	3,74472E+11	5	7791	1	 	
6786	-6943	-7409	3,49077E+11	5	7566	6	 	
-6943	-7409	9501	4,88738E+11	1	4851	1	 	
-7409	9501	-7846	5,52303E+11	1	5754	4	 	
9501	-7846	3497	2,60683E+11	6	5152	2	 	
-7846	3497	-1560	42802440720	4	5909	9	 	
3497	-1560	4760	25967323200	0	6697	7	 	
-1560	4760	-8437	62649787200	0	5237	7	 	
4760	-8437	7580	3,04414E+11	0	3903	3	 	
-8437	7580	-2900	1,85462E+11	3	3757	7	 	
7580	-2900	-3219	70760058000	2	1461	1	 	
-2900	-3219	-6953	64906950300	3	13072	2	 	
-3219	-6953	7472	1,67236E+11	1	2700	0	 	
-6953	7472	-3493	1,81471E+11	0	2974	4	 	
7472	-3493	5396	1,40834E+11	0	9375	5	9375	
-3493	5396	-7860	1,48147E+11	0	5957	7	 	
5396	-7860	8208	3,48122E+11	4	5744	4	 	
-7860	8208	-9875	6,37084E+11	1	9527	7	 	
8208	-9875	9395	7,61502E+11	6	7728	8	 	
-9875	9395	-3824	3,54774E+11	3	4304	4	 	
9395	-3824	-6268	2,25187E+11	6	697	7	 	
-3824	-6268	-3907	93646226624	6	13999	9	 	
-6268	-3907	-3818	93499292168	2	13993	3	 	
-3907	-3818	-562	8383312412	6	8287	7	 	
-3818	-562	-9847	21128865452	2	14227	7	 	
-562	-9847	5278	29208525892	0	5131	1	 	
-9847	5278	-3322	1,72653E+11	0	7891	1	 	
5278	-3322	-4525	79339159900	0	2569	9	 	
-3322	-4525	-9510	1,42955E+11	6	17357	7	 	
-4525	-9510	-1417	60977406750	1	15452	2	 	
-9510	-1417	-7627	1,02779E+11	6	18554	4	 	
-1417	-7627	4435	47931080665	6	4609	9	 	
-7627	4435	-1122	37952485890	4	4314	4	 	
4435	-1122	-8183	40719180810	0	4870	0	 	
-1122	-8183	-5976	54867604176	0	15281	1	 	
-8183	-5976	1378	67386415824	0	12781	1	 	
-5976	1378	-1413	11635953264	5	6011	1	 	
1378	-1413	-239	465360246	1	274	4	 	
-1413	-239	9694	3273731658	1	8042	2	 	
-239	9694	-4933	11429099978	2	4522	2	 	
9694	-4933	5327	2,5474E+11	0	10088	8	 	
-4933	5327	1944	51084608904	0	2338	8	 	
5327	1944	-85	880233480	0	7186	6	 	
1944	-85	-8397	1387520280	6	6538	8	 	
-85	-8397	-3273	2336087385	2	11755	5	 	
-8397	-3273	2760	75854131560	4	8910	0	 	
-3273	2760	5092	45998480160	3	4579	9	 	
2760	5092	6947	97632582240	4	14799	9	 	
5092	6947	-5597	1,97989E+11	1	6442	2	 	
6947	-5597	6400	2,48847E+11	3	7750	0	 	
-5597	6400	-9019	3,23068E+11	3	8216	6	 	
6400	-9019	-9530	5,50087E+11	4	12149	9	 	
-9019	-9530	-1360	1,16893E+11	4	19909	9	 	
-9530	-1360	-6920	89688736000	3	17810	0	 	
-1360	-6920	-6001	56476611200	2	14281	1	 	
-6920	-6001	-5827	2,41977E+11	3	18748	8	 	
-6001	-5827	5919	2,06975E+11	3	5909	9	 	
-5827	5919	446	15382545798	4	538	8	 	
5919	446	-2961	7816666914	0	3404	4	 	
446	-2961	-2166	2860432596	0	4681	1	 	
-2961	-2166	1308	8388892008	0	3819	9	 	
-2166	1308	-7693	21795253704	0	8551	1	 	
1308	-7693	4199	42252202356	0	2186	6	 	
-7693	4199	1883	60826373881	0	1611	1	 	
4199	1883	9617	76038897389	0	15699	9	 	
1883	9617	-876	15863318436	0	10624	4	 	
9617	-876	8927	75205440084	5	17668	8	 	
-876	8927	-7487	58548729324	1	564	4	 	
8927	-7487	4799	3,20748E+11	4	6239	9	 	
-7487	4799	1709	61404563117	2	979	9	 	
4799	1709	4780	39203126980	3	11288	8	 	
1709	4780	-6871	56129336420	3	382	2	 	
4780	-6871	-7	229903660	0	2098	8	 	
-6871	-7	5298	254817906	0	1580	0	 	
-7	5298	-8416	312115776	0	3125	5	-3125	
5298	-8416	5328	2,37565E+11	5	2210	0	 	
-8416	5328	-9057	4,0612E+11	5	12145	5	 	
5328	-9057	-4889	2,35922E+11	4	8618	8	 	
-9057	-4889	-2953	1,30758E+11	3	16899	9	 	
-4889	-2953	8446	1,21937E+11	2	604	4	 	
-2953	8446	2759	68812323842	3	8252	2	 	
8446	2759	1092	25446345288	0	12297	7	 	
2759	1092	-9489	28588724892	0	5638	8	 	
1092	-9489	-308	3191492304	0	8705	5	-8705	
-9489	-308	-1327	3878306124	0	11124	4	 	
-308	-1327	206	84195496	0	1429	9	 	
-1327	206	6167	1685823454	0	5046	6	 	
206	6167	7869	9996793338	0	14242	2	 	
6167	7869	6131	2,97526E+11	0	20167	7	 	
7869	6131	122	5885870358	4	14122	2	 	
6131	122	2127	1590957714	3	8380	0	 	
122	2127	1694	439582836	0	3943	3	 	
2127	1694	-7284	26245257192	0	3463	3	 	
1694	-7284	-6991	86262620136	0	12581	1	 	
-7284	-6991	7195	3,66387E+11	1	7080	0	 	
